"`project_id`","`max_followers`"
"338816","41"
"344063","126"
"348868","27"
"362053","77"
"362894","121"
"366402","1150"
"386790","13"
"410586","5"
"414089","530"
"419651","344"
"422791","61"
"427934","5"
"440795","143"
"445199","2561"
"450059","299"
"450328","177"
"454235","9"
"455467","41"
"460773","44"
"497181","1250"
"499056","16"
"543497","433"
"546329","40"
"579759","8"
"601064","248"
"603530","89"
"640609","32"
"643697","247"
"651549","1770"
"652682","175"
"673716","43"
"705818","57"
"719340","72"
"724361","185"
"738430","544"
"742622","204"
"743378","743"
"748510","2"
"750986","24"
"771049","63"
"772395","1996"
"773433","34"
"784448","20"
"788950","149"
"804708","30"
"811373","38"
"812923","563"
"839143","7"
"843214","29"
"856494","26"
"870927","4"
"911527","55"
"927777","381"
"979207","89"
"1009716","7"
"1011413","46"
"1015480","758"
"1017307","215"
"1025135","22"
"1027466","248"
"1031791","399"
"1036996","14"
"1059797","25"
"1078185","8"
"1083125","481"
"1084793","7"
"1093294","17"
"1098117","40"
"1099822","100"
"1100704","330"
"1117036","543"
"1124381","14"
"1186739","1"
"1189471","3"
"1195142","1655"
"1214622","79"
"1228020","16"
"1242075","172"
"1248826","1"
"1261926","10"
"1303073","69"
"1328973","554"
"1354419","468"
"1372746","74"
"1382032","8"
"1391701","9"
"1397125","22"
"1404659","1722"
"1414836","100"
"1416473","10917"
"1432150","1070"
"1434458","262"
"1436875","14"
"1437288","68"
"1449551","15"
"1457727","163"
"1471568","219"
"1474764","391"
"1486549","51"
"1545229","1655"
"1600439","5"
"1713442","283"
"1749436","534"
"1764042","117"
"1799111","16"
"1819251","2"
"1852141","640"
"1891776","307"
"1892389","21"
"1893164","383"
"1900934","85"
"1904790","4"
"1916255","31"
"1918558","10"
"1927874","292"
"1964893","42"
"1965404","223"
"1989790","398"
"1991636","158"
"2001763","9"
"2020393","12"
"2051124","15"
"2145058","8"
"2146436","77"
"2201979","25"
"2206890","54"
"2207463","38"
"2213273","41"
"2229635","20"
"2241376","77"
"2244312","1556"
"2246039","3"
"2249262","1"
"2250690","176"
"2252680","97"
"2255699","4"
"2257096","29"
"2257240","5"
"2266052","56"
"2281243","20"
"2281819","280"
"2312008","7"
"2315431","8"
"2337743","8"
"2340614","2"
"2345204","99"
"2363619","167"
"2365356","23"
"2372421","10"
"2375290","1"
"2381629","320"
"2381679","6"
"2389915","105"
"2404370","161"
"2409137","10"
"2417208","9"
"2421460","13"
"2422498","8"
"2434520","7"
"2445228","5"
"2447212","598"
"2476937","2378"
"2480777","165"
"2513836","250"
"2572814","4"
"2601235","189"
"2660015","305"
"2702530","200"
"2709309","1030"
"2719572","32"
"2728868","5943"
"2739871","22"
"2752178","57"
"2768008","17"
"2787691","38"
"2798946","1"
"2801361","36"
