"`id`","`has_description`"
"10388177","TRUE"
"10396798","TRUE"
"10410843","TRUE"
"10412281","TRUE"
"10432015","TRUE"
"10435441","TRUE"
"10435922","TRUE"
"10447564","TRUE"
"10451754","TRUE"
"10473430","TRUE"
"10512042","TRUE"
"10521722","TRUE"
"10528918","TRUE"
"10541844","TRUE"
"10548198","TRUE"
"10555368","TRUE"
"10574931","TRUE"
"10576004","TRUE"
"10585250","TRUE"
"10589306","TRUE"
"10631290","TRUE"
"10660095","TRUE"
"10732476","TRUE"
"10733538","TRUE"
"10741429","TRUE"
"10752463","TRUE"
"10773454","TRUE"
"10777706","TRUE"
"10784470","TRUE"
"10803994","TRUE"
"10812016","TRUE"
"10814377","TRUE"
"10815238","TRUE"
"10817458","TRUE"
"10829089","TRUE"
"10829314","TRUE"
"10832091","TRUE"
"10832897","TRUE"
"10832960","TRUE"
"10834528","TRUE"
"10854850","TRUE"
"10859865","TRUE"
"10910878","TRUE"
"10947458","TRUE"
"10953007","TRUE"
"10955983","TRUE"
"10956567","TRUE"
"10963081","TRUE"
"10964976","TRUE"
"11026907","TRUE"
"11061859","TRUE"
"11066875","TRUE"
"11072255","TRUE"
"11080800","TRUE"
"11095632","TRUE"
"11107988","TRUE"
"11127510","TRUE"
"11132347","TRUE"
"11139593","TRUE"
"11144636","TRUE"
"11165808","TRUE"
"11176827","TRUE"
"11182376","TRUE"
"11183490","TRUE"
"11197300","TRUE"
"11212499","TRUE"
"11227723","TRUE"
"11228451","TRUE"
"11238565","TRUE"
"11265367","TRUE"
"11291526","TRUE"
"11297052","TRUE"
"11318999","TRUE"
"11323491","TRUE"
"11338993","TRUE"
"11348682","TRUE"
"11362536","TRUE"
"11384611","TRUE"
"11402707","TRUE"
"11453235","TRUE"
"11467831","TRUE"
"11474560","TRUE"
"11494393","TRUE"
"11512622","TRUE"
"11554847","TRUE"
"11570176","TRUE"
"11588385","TRUE"
"11605642","TRUE"
"11622535","TRUE"
"11625417","TRUE"
"11662013","TRUE"
"11668604","TRUE"
"11680693","TRUE"
"11698195","TRUE"
"11702237","TRUE"
"11704557","TRUE"
"11706023","TRUE"
"11707880","TRUE"
"11720517","TRUE"
"11733127","TRUE"
"11735060","TRUE"
"11737051","TRUE"
"11744765","TRUE"
"11746264","TRUE"
"11753236","TRUE"
"11761587","TRUE"
"11784159","TRUE"
"11785544","TRUE"
"11797084","TRUE"
"11802012","TRUE"
"11817714","TRUE"
"11850935","TRUE"
"11854803","TRUE"
"11912097","TRUE"
"11924541","TRUE"
"12092942","TRUE"
"12170217","TRUE"
"12192051","TRUE"
"12197208","TRUE"
"12226983","TRUE"
"12229395","TRUE"
"12260707","TRUE"
"12262320","TRUE"
"12274903","TRUE"
"12280393","TRUE"
"12308151","TRUE"
"12313618","TRUE"
"12315617","TRUE"
"12316998","TRUE"
"12326365","TRUE"
"12350238","TRUE"
"12398542","TRUE"
"12449377","TRUE"
"12474524","TRUE"
"12505449","TRUE"
"12508484","TRUE"
"12520304","TRUE"
"12526520","TRUE"
"12589909","TRUE"
"12630000","TRUE"
"12653317","TRUE"
"12666384","TRUE"
"12670029","TRUE"
"12682828","TRUE"
"12682853","TRUE"
"12715530","TRUE"
"12719568","TRUE"
"12740796","TRUE"
"12746037","TRUE"
"12749140","TRUE"
"12761803","TRUE"
"12798077","TRUE"
"12806676","TRUE"
"12807650","TRUE"
"12814859","TRUE"
"12821674","TRUE"
"12861561","TRUE"
"12878383","TRUE"
"12908987","TRUE"
"12998527","TRUE"
"13061306","TRUE"
"13071706","TRUE"
"13082203","TRUE"
"13095216","TRUE"
"13097260","TRUE"
"13126326","TRUE"
"13128433","TRUE"
"13155583","TRUE"
"13334964","TRUE"
"13368782","TRUE"
"13393204","TRUE"
"13398866","TRUE"
"13403042","TRUE"
"13413696","TRUE"
"13454056","TRUE"
"13464028","TRUE"
"13480659","TRUE"
"13481226","TRUE"
"13489032","TRUE"
"13490952","TRUE"
"13494877","TRUE"
"13509074","TRUE"
"13520780","TRUE"
"13523497","TRUE"
"13536812","TRUE"
"13544235","TRUE"
"13570263","TRUE"
"13585659","TRUE"
"13593152","TRUE"
"13602488","TRUE"
"13613053","TRUE"
"13615253","TRUE"
"13621454","TRUE"
"13635889","TRUE"
"13636760","TRUE"
"13636819","TRUE"
"13640327","TRUE"
"13642463","TRUE"
"13655055","TRUE"
"13664602","TRUE"
"13678610","TRUE"
"13685691","TRUE"
"13719308","TRUE"
"13735930","TRUE"
"13737011","TRUE"
"13740270","TRUE"
"13747894","TRUE"
"13759969","TRUE"
"13778815","TRUE"
"13808342","TRUE"
"13837159","TRUE"
"13865588","TRUE"
"13964115","TRUE"
"13978039","TRUE"
"14000694","TRUE"
"14027141","TRUE"
"14101318","TRUE"
"14116012","TRUE"
