`id`,`url`,`name`,`description`,`domain`,,
12830,https://github.com/rvm/rvm,rvm,Ruby enVironment (Version) Manager ( rvm ) ~ Monitor GitHub Issues ( https://github.com/rvm/rvm/issues/ ) for bug reports and fixes.  Fundraiser for mpapis: https://www.bountysource.com/fundraisers/489-rvm-2-0,Software and its engineering,,
12831,https://github.com/coleifer/peewee,peewee,"a small orm, with support for postgresql, mysql and sqlite",Information systems,,
12885,https://github.com/sferik/rails_admin,rails_admin,RailsAdmin is a Rails engine that provides an easy-to-use interface for managing your data,Human-centered computing,,
13235,https://github.com/visionmedia/page.js,page.js,Micro client-side router inspired by the Express router,Networks,,
13436,https://github.com/PyTables/PyTables,PyTables,PyTables is a package for managing hierarchical datasets and designed to efficiently and easily cope with extremely large amounts of data.  This a git-svn clone of the Pro version recently released under a BSD-flavored license by Francesc Alted!,Information systems,,
13718,https://github.com/caelum/vraptor,vraptor,Simple Java Web MVC Framework,Software and its engineering,,
13747,https://github.com/ammmir/node-oauth2-provider,node-oauth2-provider,A simple customizable OAuth 2.0 provider (server) for node.js.,Security and privacy,,
13929,https://github.com/tpope/vim-pathogen,vim-pathogen,pathogen.vim: manage your runtimepath,Human-centered computing,,
14061,https://github.com/quirkey/sammy,sammy,"Sammy is a tiny javascript framework built on top of jQuery, It's RESTful Evented Javascript.",Software and its engineering,,
14098,https://github.com/radare/radare2,radare2,unix-like reverse engineering framework and commandline tools,Applied computing,,
14622,https://github.com/raspberrypi/firmware,firmware,,,,
14763,https://github.com/JamieAppleseed/selectToAutocomplete,selectToAutocomplete,"Turns any select tag into an autocomplete field with weighted options, synonyms and loose matching",Human-centered computing,,
14952,https://github.com/brianc/node-postgres,node-postgres,Non-blocking PostgreSQL client for node.js. Pure JavaScript and native libpq bindings.,Information systems,,
15433,https://github.com/zsh-users/antigen,antigen,"A plugin manager for zsh, inspired by oh-my-zsh and vundle.",Human-centered computing,,
15728,https://github.com/resmo/git-ftp,git-ftp,Git powered FTP client written as shell script.,Networks,,
15756,https://github.com/skwp/dotfiles,dotfiles,"YADR - The best vim,git,zsh plugins and the cleanest vimrc you've ever seen",Human-centered computing,,
15762,https://github.com/woothemes/woocommerce,woocommerce,An open source eCommerce plugin for WordPress created by WooThemes.,Applied computing,,
16113,https://github.com/mtabini/AFKPageFlipper,AFKPageFlipper,A simple 3-D page flip transition for iOS devices,Human-centered computing,,
16376,https://github.com/charlieroberts/Gibber,Gibber,Live coding music environment built on audiolib.js,Applied computing,,
16462,https://github.com/mojombo/grit,grit,Grit gives you object oriented read/write access to Git repositories via Ruby.,Software and its engineering,,
16639,https://github.com/thoughtbot/high_voltage,high_voltage,Easily include static pages in your Rails app.,Software and its engineering,,
16820,https://github.com/stubbornella/oocss,oocss,Object Oriented CSS Framework,Software and its engineering,,
16836,https://github.com/fikovnik/ShiftIt,ShiftIt,Managing windows size and position in OSX,Human-centered computing,,
17000,https://github.com/stefanfoulis/django-filer,django-filer,File and Image Management Application for django,Applied computing,,
17165,https://github.com/sstephenson/ruby-build,ruby-build,Compile and install Ruby,Human-centered computing,,
17411,https://github.com/WebKit/webkit,webkit,Unofficial mirror of the WebKit SVN repository,Information systems,,
17730,https://github.com/ervandew/supertab,supertab,Perform all your vim insert mode completions with Tab,Human-centered computing,,
17742,https://github.com/ncb000gt/node.bcrypt.js,node.bcrypt.js,bcrypt for NodeJs,Security and privacy,,
17798,https://github.com/rentzsch/mogenerator,mogenerator,Core Data code generation,Software and its engineering,,
18003,https://github.com/mongolab/dex,dex,Index and query analyzer for MongoDB: compares MongoDB log files and index entries to make index recommendations,Information systems,,
18045,https://github.com/fgnass/spin.js,spin.js,A spinning activity indicator,Human-centered computing,,
18090,https://github.com/KnpLabs/KnpPaginatorBundle,KnpPaginatorBundle,SEO friendly Symfony2 paginator to sort and paginate,Information systems,,
18250,https://github.com/qhm123/tinybo,tinybo,,,,
18571,https://github.com/Gazler/githug,githug,Git your game on!,,,
18601,https://github.com/aseemk/json5,json5,JSON for the ES5 era. (Not an official successor to JSON.),Software and its engineering,,
18941,https://github.com/theleagueof/raleway,raleway,"An elegant sans-serif, designed in a single thin weight.",Human-centered computing,,
19019,https://github.com/Pylons/pylons,pylons,"Pylons Framework, community maintained with guidance/assistance from the Pylons Project. Merged with repoze.bfg for Pyramid framework.",Software and its engineering,,
19030,https://github.com/ivmai/bdwgc,bdwgc,"The Boehm-Demers-Weiser conservative C/C++ Garbage Collector (libgc, bdwgc, boehmgc) ",Computing methodologies,,
19375,https://github.com/joshmarshall/jsonrpclib,jsonrpclib,A Python JSON-RPC over HTTP that mirrors xmlrpclib syntax.,Networks,,
19579,https://github.com/schaloner/deadbolt-2,deadbolt-2,An authorization module for the Play framework,Security and privacy,,
19615,https://github.com/couchone/pages,pages,A CouchApp Wiki,Information systems,,
19626,https://github.com/OpenEmu/OpenEmu,OpenEmu,openemu,,,
19640,https://github.com/JoelBesada/scrollpath,scrollpath,A plugin for defining custom scroll paths.,Human-centered computing,,
19806,https://github.com/rstacruz/jquery.transit,jquery.transit,Super-smooth CSS3 transformations and transitions for jQuery,Human-centered computing,,
19996,https://github.com/nathansmith/960-Grid-System,960-Grid-System,The 960 Grid System is an effort to streamline web development workflow.,Software and its engineering,,
20138,https://github.com/samvermette/SVPullToRefresh,SVPullToRefresh,Give pull-to-refresh & infinite scrolling to any UIScrollView with 1 line of code. ,Human-centered computing,,
20678,https://github.com/firnsy/barnyard2,barnyard2,Barnyard2 is a dedicated spooler for Snort's unified2 binary output format.,Software and its engineering,,
21218,https://github.com/imulus/retinajs,retinajs,JavaScript and LESS helpers for rendering high-resolution image variants,Software and its engineering,,
21274,https://github.com/sstephenson/rbenv,rbenv,Groom your appâ€™s Ruby environment,Software and its engineering,,
21530,https://github.com/spree-contrib/spree_active_shipping,spree_active_shipping,Spree integration for Shopify's active_shipping gem.,Software and its engineering,,
21621,https://github.com/osclass/OSClass,OSClass,"With OSClass, get your own  classifieds site for free. Build your own OSClass installation and start advertising real estate, jobs or whatever you want- in minutes!",Applied computing,,
22086,https://github.com/LeaVerou/animatable,animatable,"One property, two values, endless possiblities",Human-centered computing,,
22321,https://github.com/cplusplus/draft,draft,C++ standards drafts,General and reference,,
22528,https://github.com/justinfrench/formtastic,formtastic,A Rails form builder plugin with semantically rich and accessible markup.,Human-centered computing,,
22551,https://github.com/crossbario/autobahn-python,AutobahnPython,WebSocket & WAMP for Python on Twisted and asyncio,Networks,,
22772,https://github.com/BBC-News/wally,wally,Cucumber feature viewer and navigator,Human-centered computing,,
23085,https://github.com/pkrumins/node-lazy,node-lazy,lazy lists for node.js,Software and its engineering,,
23122,https://github.com/steipete/PSStackedView,PSStackedView,open source implementation of Twitter/iPad stacked ui - done right.,Human-centered computing,,
23238,https://github.com/ginatrapani/todo.txt-cli,todo.txt-cli,A simple and extensible shell script for managing your todo.txt file.,Human-centered computing,,
23301,https://github.com/thoughtbot/laptop,laptop,A shell script which turns your OS X laptop into an awesome web development machine.,Human-centered computing,,
23429,https://github.com/robrighter/node-xml,node-xml,An xml parser for node.js written in javascript.,Software and its engineering,,
23605,https://github.com/addyosmani/basket.js,basket.js,A proof-of-concept script loader for caching/loading scripts with localStorage,Information systems,,
23670,https://github.com/bumptech/stud,stud,The Scalable TLS Unwrapping Daemon,Networks,,
23834,https://github.com/jnicklas/capybara,capybara,Acceptance test framework for web applications,Software and its engineering,,
23888,https://github.com/cyrilmottier/GreenDroid,GreenDroid,GreenDroid is a development library for the Android platform. It makes UI developments easier and consistent through your applications.,Software and its engineering,,
24177,https://github.com/agiliq/Django-Socialauth,Django-Socialauth,"Allows logging in via Facebook, Yahoo, Gmail, Twitter and Openid",Security and privacy,,
24213,https://github.com/xiehuc/pidgin-lwqq,pidgin-lwqq,"a pidgin plugin based on lwqq, a excellent safe useful library for webqq protocol",Networks,,
24326,https://github.com/getify/LABjs,LABjs,Loading And Blocking JavaScript: On-demand parallel loader for JavaScript with execution order dependencies,Information systems,,
24522,https://github.com/daneden/Basehold.it,Basehold.it,I gave that bitch a baseline. Bitches love baselines.,Software and its engineering,,
24559,https://github.com/yesodweb/yesod,yesod,A RESTful Haskell web framework built on WAI.,Software and its engineering,,
24603,https://github.com/joyent/http-parser,http-parser,http request/response parser for c,Networks,,
24889,https://github.com/notahat/machinist,machinist,Fixtures aren't fun. Machinist is.,Software and its engineering,,
24960,https://github.com/inuyaksa/jquery.nicescroll,jquery.nicescroll,nicescroll plugin for jquery - scrollbars like iphone/ipad,Human-centered computing,,
25016,https://github.com/millermedeiros/amd-utils,amd-utils,modular JavaScript utilities written in the AMD format,Software and its engineering,,
25359,https://github.com/rdegges/django-skel,django-skel,A modern Django (1.4) project skeleton.,Software and its engineering,,
25380,https://github.com/kanaka/noVNC,noVNC,"VNC client using HTML5 (Web Sockets, Canvas) with encryption (wss://) support.",Networks,,
25986,https://github.com/nodejitsu/require-analyzer,require-analyzer,"Determine the set of requirements for a given node.js file, directory tree, or module",Software and its engineering,,
26624,https://github.com/celery/celery,celery,Distributed Task Queue (development branch),Computing methodologies,,
26636,https://github.com/mongodb/mongo-hadoop,mongo-hadoop,MongoDB adapter for Hadoop,Information systems,,
26688,https://github.com/Supervisor/supervisor,supervisor,Supervisor process control system for UNIX,Hardware,,
27046,https://github.com/forcedotcom/SalesforceMobileSDK-iOS,SalesforceMobileSDK-iOS,Force.com mobile SDK for iOS applications,Software and its engineering,,
27194,https://github.com/pbatard/rufus,rufus,The Reliable USB Formatting Utility,Hardware,,
28009,https://github.com/eligrey/FileSaver.js,FileSaver.js,A saveAs() FileSaver implementation,Human-centered computing,,
28054,https://github.com/bitwiseshiftleft/sjcl,sjcl,Stanford Javascript Crypto Library,Security and privacy,,
28069,https://github.com/collectiveidea/awesome_nested_set,awesome_nested_set,An awesome replacement for acts_as_nested_set and better_nested_set.,Information systems,,
28204,https://github.com/Valloric/YouCompleteMe,YouCompleteMe,A code-completion engine for Vim,Software and its engineering,,
28556,https://github.com/detro/ghostdriver,ghostdriver,"Ghost Driver is an implementation of the Remote WebDriver Wire protocol, using PhantomJS as back-end",Networks,,
28576,https://github.com/phayes/geoPHP,geoPHP,Advanced geometry operations in PHP,Applied computing,,
29172,https://github.com/harthur/brain,brain,Neural network library,Computing methodologies,,
29762,https://github.com/RobinHerbots/jquery.inputmask,jquery.inputmask,jQuery Input Mask plugin,Human-centered computing,,
29914,https://github.com/redis/redis-rb,redis-rb,A Ruby client library for Redis,Information systems,,
29991,https://github.com/swannodette/mori,mori,ClojureScript's persistent data structures and supporting API from the comfort of vanilla JavaScript,Information systems,,
30402,https://github.com/archlinuxarm/PKGBUILDs,PKGBUILDs,PKGBUILDs modified to build on Arch Linux ARM,Applied computing,,
30653,https://github.com/kesiev/magaka,magaka,A digital magazine framework in HTML/Javascript.,Human-centered computing,,
30738,https://github.com/newsapps/beeswithmachineguns,beeswithmachineguns,A utility for arming (creating) many bees (micro EC2 instances) to attack (load test) targets (web applications).,Software and its engineering,,
30761,https://github.com/rchouinard/phpass,phpass,"PHP Password Library: Easy, secure password management for PHP",Security and privacy,,
31283,https://github.com/adamdbradley/foresight.js,foresight.js,"Foresight.js gives webpages the ability to tell if the user's device is capable of viewing high-resolution images (such as the 3rd generation iPad) before the image is requested from the server. Additionally, it judges if the user's device currently has a",Human-centered computing,,
31366,https://github.com/nostra13/Android-Universal-Image-Loader,Android-Universal-Image-Loader,"This project aims to provide a reusable instrument for asynchronous image loading, caching and displaying.",Human-centered computing,,
32023,https://github.com/sparklemotion/nokogiri,nokogiri,"Nokogiri (é‹¸) is an HTML, XML, SAX, and Reader parser with XPath and CSS selector support.",Software and its engineering,,
32107,https://github.com/Miserlou/DirtyShare,DirtyShare,Peer to Peer Filesharing in Pure Javascript With Node.js and Socket.io,Networks,,
32638,https://github.com/stefankroes/ancestry,ancestry,Organise ActiveRecord model into a tree structure,Computing methodologies,,
33227,https://github.com/jrburke/require-jquery,require-jquery,A RequireJS+jQuery sample project,Software and its engineering,,
33565,https://github.com/binarylogic/authlogic,authlogic,A simple model based ruby authentication solution.,Security and privacy,,
33656,https://github.com/Eonblast/Emysql,Emysql,Erlang MySQL driver,Information systems,,
34288,https://github.com/sindresorhus/screenfull.js,screenfull.js,Simple wrapper for cross-browser usage of the JavaScript Fullscreen API,Human-centered computing,,
35473,https://github.com/r8/vagrant-lamp,vagrant-lamp,My default LAMP development stack for Vagrant,Software and its engineering,,
36313,https://github.com/nineties/amber,amber,A Language for High-Level Programming with Self-Extension,Software and its engineering,,
36413,https://github.com/flyerhzm/bullet,bullet,A rails plugin/gem to kill N+1 queries and unused eager loading,Information systems,,
