"`project_id`","`number_of_commits`"
"11159171","22"
"11161717","137"
"11172191","15"
"11175472","5"
"11195759","28"
"11200027","113"
"11228639","225"
"11252194","48"
"11254287","25"
"11297013","74"
"11313132","1061"
"11328039","325"
"11336759","245"
"11340887","18"
"11356684","128"
"11358572","13"
"11391757","226"
"11406821","2117"
"11412460","13"
"11415691","3"
"11463276","1206"
"11466528","27"
"11473240","215"
"11473378","94"
"11497760","26"
"11517780","144"
"11519584","276"
"11538174","13"
"11548146","54"
"11551813","5"
"11568187","32"
"11585826","353"
"11602105","569"
"11608399","486"
"11615983","188"
"11634048","3"
"11634199","258"
"11654207","7"
"11657787","9"
"11660455","29"
"11665863","430"
"11665972","1021"
"11676394","849"
"11687254","100"
"11687706","8"
"11735057","343"
"11740562","94"
"11751488","6"
"11754997","638"
"11769880","27"
"11789030","11"
"11794421","811"
"11794796","2"
"11803307","15"
"11821658","441"
"11832442","645"
"11907220","14"
"12015230","16"
"12115012","15"
"12150380","246"
"12163166","136"
"12177558","4"
"12186213","148"
"12200161","81"
"12214267","93"
"12216920","171"
"12220669","13"
"12221622","869"
"12240930","170"
"12304144","104"
"12306986","25"
"12313995","12"
"12332374","3"
"12357324","7"
"12379752","3"
"12390453","2026"
"12413568","48"
"12422593","19"
"12424121","76"
"12435659","127"
"12439319","4"
"12489054","16"
"12518556","6"
"12519818","3"
"12529191","4"
"12557120","7"
"12558650","24"
"12558703","213"
"12574852","41"
"12635450","1"
"12646060","11"
"12648497","27"
"12658463","20"
"12693962","87"
"12706844","105"
"12726897","163"
"12740796","164"
"12741487","25"
"12746126","649"
"12749548","142"
"12811549","3062"
"12827503","204"
"12868919","56"
"12930096","24"
"12959225","11"
"12963085","641"
"12996327","297"
"13007562","5034"
"13035349","77"
"13041409","506"
"13041777","85"
"13058031","211"
"13107588","31"
"13107768","804"
"13345616","2782"
"13348074","133"
"13392915","121"
"13405592","152"
"13415096","36"
"13424226","16"
"13427611","41"
"13427853","443"
"13438746","1134"
"13439860","56"
"13455680","3"
"13459418","687"
"13465629","4525"
"13466742","256"
"13467938","197"
"13480201","12"
"13494142","3"
"13509305","25"
"13511109","645"
"13512471","106"
"13535423","619"
"13566846","164"
"13585290","100"
"13587145","232"
"13592253","16"
"13593152","79"
"13608843","513"
"13610294","79"
"13613295","16"
"13628694","378"
"13662472","103"
"13672208","39"
"13677100","149"
"13705953","13"
"13706917","220"
"13725284","27"
"13731223","2"
"13745730","233"
"13752290","179"
"13763415","331"
"13801357","118"
"13923935","3"
"13972688","38"
"13972945","2"
"13988574","3"
"14023404","3"
"14028095","1"
"14048541","8"
"14049042","7"
"14093645","20"
"14117379","1"
"14157917","1"
"14254560","548"
"14280165","169"
"14348013","27"
"14368838","41"
"14370006","169"
"14381362","54"
"14393575","7"
"14417909","1"
"14419822","1"
"14434431","1"
"14451906","304"
"14457963","741"
"14476526","1"
"14476691","73"
"14481490","239"
"14496805","20"
"14524682","39"
"14576864","22"
"14580652","4"
"14625866","1"
"14628898","4"
"14660968","334"
"14677016","24"
"14691115","46"
"14693824","449"
"14719391","71"
"14724057","738"
"14740294","9"
"14758742","179"
"14782669","56"
"14786385","37"
"14802362","4"
"14827639","121"
"14827965","1766"
"14857693","78"
"14918208","1"
"14945138","643"
"14978563","111"
"14990109","70"
"14995695","14"
"14998555","127"
"15007473","6"
"15016739","63"
"15027002","8968"
"15053873","129"
"15059119","43"
"15068747","17"
"15082100","10"
"15112387","3"
"15167392","847"
"15238079","103"
"15248377","27"
"15251207","11"
"15286764","35"
"15303824","369"
"15313669","35"
"15344258","13"
"15361130","55"
"15388751","24"
"15400569","118"
"15407695","264"
"15454610","5"
"15488641","11"
"15531696","37"
"15542064","10"
"15554547","590"
"15583272","449"
"15601873","191"
"15625859","21696"
"15632990","16"
"15643041","539"
"15662475","107"
"15673227","34"
"15687402","4"
"15692108","6"
"15724079","32"
"15731277","1216"
"15748127","17"
"15748215","13"
"15770343","201"
"15772261","1"
"15779775","1"
"15784059","3692"
"15845303","380"
"15915189","435"
"15930747","468"
"15932489","787"
"15952671","38"
"16037577","195"
"16074108","582"
"16076757","113"
"16085723","145"
"16112679","63"
"16121233","63"
"16132422","5"
"16141280","57"
"16182332","20"
"16192892","1340"
"16272431","4"
"16283191","308"
"16283276","15"
"16285631","28"
"16292870","86"
"16298014","14"
"16312951","357"
"16327814","23"
"16331104","45"
"16357580","1849"
"16358223","353"
"16372223","5"
"16394658","22"
"16409304","2"
"16415982","36"
"16463877","7"
"16475588","15"
"16530237","145"
"16547702","44"
"16636130","24"
"16639962","53"
"16763781","1194"
"16791438","19"
"16837859","7"
"16837900","120"
"16872502","198"
"16889361","145"
"16908261","2"
"16931183","38"
"16952166","6"
"16989116","2"
"17018589","114"
"17127755","45"
"17140721","15"
"17142708","192"
"17176792","60"
"17253732","101"
"17262021","2"
"17302013","3155"
"17302594","11594"
"17314643","32"
"17327635","117"
"17343187","34"
"17383291","118"
"17402504","1"
"17484762","110"
"17491763","666"
"17496932","1"
"17519825","15"
"17519983","71"
"17549033","4"
"17555997","181"
"17567258","137"
"17573132","1"
"17596843","7"
"17598670","1"
"17613279","5"
"17667246","1"
"17675810","54"
"17727833","505"
"17739888","426"
"17770132","124"
"17784756","34"
"17787386","1152"
"17797811","275"
"17811544","131"
"17850162","6"
"17861278","260"
"17865733","177"
"17899755","33"
"17900033","21"
"17911207","5278"
"17916657","37"
"17936237","37"
"17962275","495"
"18020458","42"
"18022219","1488"
"18024328","163"
"18036564","191"
"18044666","1"
"18110177","518"
"18118027","1"
"18123826","1"
"18213132","166"
"18257042","13"
"18257960","503"
"18269548","408"
"18275721","18"
